구군명,시설유형,시설명,도로명주소,위도,경도,전화번호,정원,데이터기준일자
부산진구,장애인지역사회재활시설,나래울장애인주간보호센터,부산광역시 부산진구 복지로 117-12 (개금동),35.14260918,129.0201588,051-893-0035,16,2025-12-09
부산진구,장애인지역사회재활시설,개금장애인주간보호센터,부산광역시 부산진구 백양관문로77번길 140 (개금동),35.16412973,129.0249942,051-893-5034,15,2025-12-09
부산진구,장애인지역사회재활시설,부산데프장애인주간보호센터,"부산광역시 부산진구 새싹로52번길 39(부전동, 5층)",35.16237717,129.0579016,051-819-7715,20,2025-12-09
부산진구,장애인지역사회재활시설,이레주간보호센터,"부산광역시 부산진구 시민공원로19번길 32-8(부암동, 1층)",35.16452905,129.0519801,051-819-7784,16,2025-12-09
부산진구,장애인생산품판매시설,부산장애인생산품판매시설,부산광역시 부산진구 중앙대로979번길 29 (양정동),35.17747997,129.0727427,051-852-0258,0,2025-12-09
동래구,장애인복지관,동래구장애인복지관,부산광역시 동래구 충렬대로 386(안락동),35.19703517,129.100376,051-522-1650, ,2023-12-31
동래구,장애인주간보호시설,징검다리주간보호센터,부산광역시 동래구 시실로107번길 151(명장동),35.21122134,129.0985687,051-529-2430,21,2023-12-31
동래구,장애인주간보호시설,다솜주간보호센터,부산광역시 동래구 시실로167번길 64(명장동),35.21123367,129.0991949,051-528-5024,16,2023-12-31
동래구,장애인주간보호시설,사직장애인주간보호센터,부산광역시 동래구 사직북로63번길 20-7(사직동),35.19909602,129.0573019,051-506-3418,18,2023-12-31
동래구,장애인주간보호시설,늘사랑장애인주간보호센터,부산광역시 동래구 충렬대로 386(안락동),35.19703517,129.100376,070-7540-7703,12,2023-12-31
동래구,장애인직업재활시설,도영센터,부산광역시 동래구 시실로211번길 69-2(명장동),35.20915696,129.0995842,051-527-1004,30,2023-12-31
동래구,장애인직업재활시설,신라직업재활시설,부산광역시 동래구 쇠미로 179(온천동),35.2064416,129.062526,051-506-4912,20,2023-12-31
동래구,장애인직업재활시설,온사랑직업재활센터,"부산광역시 동래구 아시아드대로 225, 1층(온천동, 미남메디칼센터)",35.20425128,129.0666157,051-529-1678,20,2023-12-31
동래구,장애인재활치료시설,아이맘심리발달센터,부산광역시 동래구 충렬대로137번길 20(온천동),35.20627719,129.0760212,051-504-5007, ,2023-12-31
사상구,장애유형별거주시설(지적),라온누리,"부산광역시 사상구 대동로 34-25 (엄궁동, 럭키아파트 101동 107호 외 8개소)",35.13446875,128.97655,051-312-1365,30,2025-01-10
사상구,장애인복지관,사상구장애인복지관,부산광역시 사상구 모라로192번길 21(모라3동),35.18490105,129.0009356,051-302-5523,500,2025-01-10
사상구,장애인주간보호시설,들꽃주간보호센터,부산광역시 사상구 사상로342번길 40-6 (덕포1동),35.1746723,128.9864176,051-301-6013,15,2025-01-10
북구,이용시설,부산뇌병변복지관 부설 주간보호센터,부산광역시 북구 학사로 246(금곡동),35.24445208,129.0100624,051-333-3888,11,2025-07-15
사상구,공동생활가정,체리동산 공동생활가정 3호,"부산광역시 사상구 주례로139번길8, 101동 307호(주례동, 주례벽산아파트)",35.145212,129.000931,051-313-7002,4,2025-01-10
사상구,단기거주시설,들꽃 단기보호시설,"부산광역시 사상구 백양대로561번길 29(감전동, 유진이즈빌 301호 외 2개소)",35.156952,128.991856,051-302-6013,15,2025-01-10
사상구,장애인주간보호시설,반딧불이장애인 주간보호센터,"부산광역시 사상구 주례로 135, 101호 (주례3동)",35.14590129,129.0015765,051-322-0061,15,2025-01-10
북구,이용시설,북구장애인종합복지관(북구 소유),부산광역시 북구 금곡대로 616번길 145(금곡동),35.26712211,129.017554,051-362-7755,80,2025-07-15
북구,이용시설,부산시시각장애인복지관 부설 주간보호센터,부산광역시 북구 시랑로132번길 38 (구포동),35.19507392,129.0079126,051-338-0017,35,2025-07-15
북구,이용시설,북구장애인종합복지관 부설 주간보호센터,부산광역시 북구 금곡대로 616번길 145(금곡동),35.26712211,129.017554,051-362-7755,15,2025-07-15
북구,이용시설,만덕장애인주간보호센터,부산광역시 북구 함박봉로140번길 102(만덕동),35.20185453,129.0353961,051-332-8004,15,2025-07-15
북구,이용시설,부산뇌병변복지관 부설 CCI마실주간보호센터,부산광역시 북구 금곡대로285번길 46(화명동),35.23433003,129.0110793,051-711-9036,10,2025-07-15
북구,이용시설,북부산수어통역센터,부산광역시 북구 백양대로 1061 (구포동),35.20004044,128.9970584,051-337-3940,29,2025-07-15
북구,공동생활가정,다솜의 집,"부산광역시 북구 시랑로 131번길 24, 201호, 202호(구포동)",35.19647524,129.0106533,051-338-5565,3,2025-07-15
북구,기타시설,부산장애인자립생활센터,"부산광역시 북구 화명신도시로117, 8층 (화명동,메트로프라자)",35.23466847,129.0104903,051-338-2287,30,2025-07-15
북구,생활시설,평화의집,부산광역시 북구 양달로 65 (화명동),35.24425233,129.0198938,051-331-4344,52,2025-07-15
북구,이용시설,부산시시각장애인복지관(부산시 소유),부산광역시 북구 시랑로 132번길 38 (구포동),35.19507392,129.0079126,051-338-0017,80,2025-07-15
북구,이용시설,부산뇌병변복지관,부산광역시 북구 학사로 246(금곡동),35.24445208,129.0100624,051-333-3888,80,2025-07-15
북구,직업재활시설,평화직업재활원,부산광역시 북구 양달로 65 (화명동),35.24425233,129.0198938,051-335-7749,31,2025-07-15
북구,직업재활시설,로뎀직업재활센터,부산광역시 북구 의성로 109번길 8 (덕천동),35.21076697,129.0111711,051-343-7797,30,2025-07-15
북구,직업재활시설,사단법인효드림아마윤장애인직업재활센터,백양대로1102번길 15(구포동),35.20250783,129.0006248,051-338-5688,25,2025-07-15
연제구,장애인공동생활가정,라온제나공동생활가정,"부산광역시 연제구 온천천남로 110, 51동 106호(연산동)",35.1902073,129.1015793,051-867-2352,4,2025-06-30
연제구,장애인지역사회재활시설(주간이용시설),희망학교주간보호센터,부산광역시 연제구 중앙천로73번길 15(연산동),35.1797919,129.0800620,051-864-3927,15,2025-06-30
연제구,장애인지역사회재활시설(주간이용시설),부산광역시장애인종합복지관 주간보호센터,부산광역시 연제구 중앙대로1150번길 15(연산동),35.1905801,129.0815553,051-790-6156,17,2025-06-30
연제구,장애인지역사회재활시설(수어통역센터),부산수어통역센터,"부산광역시 연제구 월드컵대로 21, 5층(연산동, 한원빌딩)",35.1765454,129.0854451,051-635-3746,-,2025-06-30
연제구,장애인직업재활시설(보호작업장),양지직업재활원,부산광역시 연제구 화지로 109(거제동),35.1852636,129.0657452,051-506-5432,35,2025-06-30
연제구,장애인직업재활시설(보호작업장),양지비전센터,부산광역시 연제구 화지로 109(거제동),35.1852636,129.0657452,051-503-6001,25,2025-06-30
연제구,장애인직업재활시설(보호작업장),부산직업재활원,부산광역시 연제구 톳고개로 48(연산동),35.1814307,129.1020668,051-759-9213,50,2025-06-30
양산시,장애인직업재활시설(보호작업장),두배일터,경상남도 양산시 신명3길 125(평산동),35.3882026,129.1391411,055-365-2820,30,2025-06-30
연제구,장애인직업재활시설(보호작업장),태양의집직업재활원,부산광역시 연제구 고분로242번길 56(연산동),35.1820436,129.1082841,051-754-9747,30,2025-06-30
연제구,기타(중증장애인자립생활지원센터),연제장애인자립생활센터,"부산광역시 연제구 중앙대로 1255, 7층(거제동, 함조빌딩)",35.1991574,129.0779755,051-507-9601,-,2025-06-30
연제구,기타(장애인협회),연제구장애인협회,부산광역시 연제구 봉수로 17(연산종합사회복지관4층),35.1727548,129.0889152,051-866-0214,-,2025-06-30
연제구,장애인거주시설(생활시설),성우원,부산광역시 연제구 톳고개로 48(연산동),35.1814307,129.1020668,051-759-9211,54,2025-06-30
양산시,장애인거주시설(생활시설),가온들찬빛,경상남도 양산시 신명3길 125(평산동),35.3882026,129.1391411,055-365-2818,50,2025-06-30
해운대구,장애인거주시설,영광재활원,부산광역시 해운대구 삼어로91번길 11 (반여동),35.206105,129.117806,051-523-5451,30,2025-12-04
해운대구,장애인주간보호시설,반송장애인 주간보호센터,부산광역시 해운대구 아랫반송로1번길 15 (반송동),35.226402,129.146909,051-544-8050,15,2025-12-04
해운대구,장애인거주시설,아이들의집,부산광역시 해운대구 운봉길 135 (반송동),35.233184,129.143687,051-542-5980,41,2025-12-04
해운대구,장애인주간보호시설,반여장애인주간보호센터,부산광역시 해운대구 재반로226번길 13-73 (반여동),35.198421,129.13179,070-4991-3966,16,2025-12-04
울주군,장애인거주시설,아하브마을,울산광역시 울주군 상북면 명촌길천로 58,35.561196,129.084038,052-264-0138,65,2025-12-04
해운대구,장애인주간보호시설,장산장애인주간보호센터,"부산광역시 해운대구 세실로27번길 19, 902호(좌동, 지오프라자)",35.168514,129.178027,051-703-1668,20,2025-12-04
해운대구,장애인거주시설,인덕원,부산광역시 해운대구 반송로877번길 122 (반송동),35.235171,129.149856,051-545-3147,20,2025-12-04
해운대구,장애인주간보호시설,장산길주간보호센터,"부산광역시 해운대구 신반송로 138-2, 201호 (반송동)",35.230014,129.161296,051-545-4480,15,2025-12-04
해운대구,장애인공동생활가정,베데스다의 집,"부산광역시 해운대구 우동2로 88, 1동 101호 (우동,신동비치)",35.170075,129.156359,051-731-3268,4,2025-12-04
해운대구,장애인공동생활가정,동백장애인공동생활가정,"부산광역시 해운대구 아랫반송로80번길 47, 3층(반송동)",35.22033981,129.1511013,051-544-440,10,2025-12-04
해운대구,장애인주간보호시설,대성장애인주간보호센터,"부산광역시 해운대구 선수촌로 181-2, 3층 (반여동)",35.209024,129.123777,070-4788-2658,20,2025-12-04
해운대구,장애인직업재활시설,해운대구장애인근로사업장,부산광역시 해운대구 석대로 29 (석대동),35.222048,129.125846,051-531-1116,30,2025-12-04
해운대구,장애인직업재활시설,장산직업재활센터,"부산광역시 해운대구 세실로27번길 19, 901호(좌동, 지오플라자)",35.168514,129.178027,051-703-1678,20,2025-12-04
해운대구,장애인직업재활시설,영광직업재활원,부산광역시 해운대구 삼어로91번길 11 (반여동),35.206105,129.117806,051-523-5421,40,2025-12-04
해운대구,장애인복지관,해운대구장애인복지관,부산광역시 해운대구 선수촌로 207번길 81(반여동),35.210862,129.121935,051-521-5200,500,2025-12-04
해운대구,수어통역센터,해운대구수어통역센터,"부산광역시 해운대로 663,상가에이동 203호(우동, 해운대비스타동원)",35.165714,129.161851,051-747-5177,60,2025-12-04
해운대구,장애인주간보호시설,운봉장애인주간보호센터,부산광역시 해운대구 신반송로 200 (반송동),35.203029,129.158664,051-543-3281,15,2025-12-04
해운대구,장애인주간보호시설,반송장애인 주간보호센터,부산광역시 해운대구 아랫반송로1번길 15 (반송동),35.226402,129.146909,051-544-8050,15,2025-12-04
해운대구,장애인주간보호시설,반여장애인주간보호센터,부산광역시 해운대구 재반로226번길 13-73 (반여동),35.198421,129.13179,070-4991-3966,20,2025-12-04
해운대구,장애인주간보호시설,장산장애인주간보호센터,"부산광역시 해운대구 세실로27번길 19, 902호(좌동, 지오프라자)",35.168514,129.178027,051-703-1668,20,2025-12-04
해운대구,장애인주간보호시설,장산길주간보호센터,"부산광역시 해운대구 신반송로 138-2, 201호 (반송동)",35.230014,129.161296,051-545-4480,15,2025-12-04
해운대구,장애인주간보호시설,대성장애인주간보호센터,"부산광역시 해운대구 선수촌로 181-2, 3층 (반여동)",35.209024,129.123777,070-4788-2658,20,2025-12-04
해운대구,장애인주간보호시설,운봉장애인주간보호센터,부산광역시 해운대구 신반송로 200 (반송동),35.203029,129.158664,051-543-3281,15,2025-12-04
해운대구,장애인직업재활시설,동백장애인직업재활센터,"부산광역시 해운대구 아랫반송로80번길 47, 2층(반송동)",35.22033981,129.1511013,051-544-440,10,2025-12-04
서구,장애인거주시설,천마재활원,천해로 7번길 55-10,35.08042192,129.0190211,051-247-4084,66,2025-11-25
서구,장애인거주시설,부산라이트하우스,충무대로 73,35.07913384,129.0199809,051-256-3096,36,2025-11-25
서구,장애인거주시설,나라단기거주시설,천해로 7번길 55-10,35.08042192,129.0190211,051-715-1511,10,2025-11-25
서구,장애인직업재활시설,천마도예의숲,천해로 7번길 55-10,35.08042192,129.0190211,051-246-4084,45,2025-11-25
서구,장애인직업재활시설,꿈나래,보수대로154번길 40,35.11099472,129.0236363,051-926-9005,32,2025-11-25
서구,장애인지역사회재활시설,서구장애인 주간보호센터,망양로 193번길 104,35.11117899,129.0263591,051-253-1986,15,2025-11-25
서구,장애인지역사회재활시설,서구장애인복지관 주간보호센터,보수대로154번길 36,35.11067954,129.0235995,051-242-3930,20,2025-11-25
서구,장애인지역사회재활시설,수어통역센터,대청로 6번길 41-1,35.10139384,129.0205437,051-244-9770,0,2025-11-25
서구,장애인지역사회재활시설,서구장애인복지관,보수대로154번길 36,35.11067954,129.0235995,051-242-3930,150,2025-11-25
중구,장애인직업재활시설,부산안마수련원,부산광역시 중구 중앙대로 143-1,35.110567,129.03737,051-462-2106,30,2025-12-02
중구,장애인지역사회재활시설,중구장애인주간보호시설,"부산광역시 중구 초량상로5번길 20, 1층",35.113103,129.034156,051-466-9887,10,2025-12-02
동구,장애인직업재활시설,참일터,부산광역시 동구 중앙대로236번길 13-5 (초량동),35.1180014,129.0429747,051-465-3511,43,2025-12-09
중구,장애인지역사회재활시설,중구장애아동주간보호센터,"부산광역시 중구 망양로 309, 3층",35.105856,129.028255,051-441-9224,10,2025-12-02
동구,장애인공동생활가정,루비홈,부산광역시 동구 홍곡로 67 동남아파트 다동 304호,35.1456902,129.0424159,051-441-4535,4,2025-12-09
동구,장애인복지관,동구장애인복지관,부산광역시 동구 망양로 748(수정동),35.1308614,129.040411,051-469-9756,0,2025-12-09
동구,장애인주간이용시설,동구장애인주간보호센터,"부산광역시 동구 안창로 57, 1층(범일동)",35.1456382,129.0424284,051-633-3367,13,2025-12-09
동구,장애인주간이용시설,큰빛장애인주간보호센터,부산광역시 동구 초량중로 27(초량동),35.1456902,129.0424159,051-464-3909,10,2025-12-09
동구,장애인주간이용시설,동백복지주간보호센터,부산광역시 동구 중앙대로236번길 13-5(초량동),35.1180014,129.0429747,051-466-7706,20,2025-12-09
동구,장애인주간이용시설,부산시각장애인주간보호센터,부산광역시 동구 중앙대로320번길 4 (초량동),35.1246725,129.0453652,051-462-3292,12,2025-12-09
동구,장애인주간이용시설,행복한장애인주간보호센터,부산광역시 동구 망양로 748 (수정동),35.1308614,129.040411,051-469-9756,12,2025-12-09
동구,장애인주간이용시설,동림장애인주간보호센터,"부산광역시 동구 중앙대로 509-1, 5층(범일동)",35.1387939,129.0562694,051-469-1255,20,2025-12-09
동구,시각장애인 등 생활지원센터,부산시각장애인 등 생활지원센터,부산광역시 동구 중앙대로320번길 4 (초량동),35.1246725,129.0453652,051-464-3292,0,2025-12-09
사하구,공동생활가정,호산나제1그룹홈,부산광역시 사하구 낙동남로1405번길 32 306호(하단동),35.1080832852013,128.965304116624,051-293-9388,4,2025-12-09
사하구,공동생활가정,호산나제2그룹홈,부산광역시 사하구 낙동남로1361번길 22 105호(하단동),35.1075132310464,128.960817852849,051-206-9588,9,2025-12-09
사하구,공동생활가정,푸른집,부산광역시 사하구 다대로 473 106동 102호(다대동),35.0614810237866,128.979312755324,051-265-4278,5,2025-12-09
사하구,공동생활가정,민들레집,부산광역시 사하구 승학로131번길 25(당리동),35.1045554580028,128.98265720681,051-205-8805,6,2025-12-09
사하구,공동생활가정,무지개홈,부산광역시 사하구 다대낙조1길 42 103동 1901호(다대동),35.0484867653077,128.968198791232,051-261-2143,7,2025-12-09
사하구,공동생활가정,사랑의집,부산광역시 사하구 다대로 301 6동 111호(장림동),35.0736843186045,128.97719060866,051-266-3024,8,2025-12-09
사하구,공동생활가정,주보배홈,부산광역시 사하구 다대로277번길 56 102동 202호(장림동),35.0758782963308,128.980661132354,070-7773-6324,10,2025-12-09
사하구,공동생활가정,우리집장애인공동생활가정,부산광역시 사하구 윤공단로 96 2층 (다대동),35.0597771073874,128.970245452072,051-264-0804,11,2025-12-09
사하구,공동생활가정,더사랑장애인공동생활가정,부산광역시 사하구 신산북로 41 201동 2701호(신평동),35.09221648435,128.968189299826,051-714-1293,12,2025-12-09
사하구,장애인직업재활시설,꿈모아직업재활센터,부산광역시 사하구 동매로 29 2층 (하단동),35.1037574523149,128.961502180465,051-293-9104,32,2025-12-09
사하구,장애인직업재활시설,굿윌코리아 보호작업장,부산광역시 사하구 낙동남로1405번길 26 (하단동),35.107936699249,128.96547408699,051-293-9104,33,2025-12-09
사하구,장애인직업재활시설,시온직업재활시설,부산광역시 사하구 낙동대로 534 5층(하단동),35.1117940769432,128.965172145844,051-263-4214,30,2025-12-09
사하구,복지관,사하구 장애인종합복지관,부산광역시 사하구 사하로68번길 65(구평동),35.0854390183849,128.992997416372,051-262-2461,200,2025-12-09
사하구,주간보호시설,장애인종합복지관 부설 주간보호센터,부산광역시 사하구 사하로68번길 65(구평동),35.0854390183849,128.992997416372,051-261-8701,12,2025-12-09
사하구,주간보호시설,행복나눔장애인주간보호센터,부산광역시 사하구 윤공단로 53 2층 (다대동),35.0572114836327,128.967454822107,051-241-1365,16,2025-12-09
사하구,주간보호시설,해온장애인주간보호센터,부산광역시 사하구 감천로139번길 49(감천동),35.0887044322698,129.00625163639,051-201-0283,15,2025-12-09
사하구,주간보호시설,가온누리 장애인주간보호센터,부산광역시 사하구 다대로 415-1 101호(다대동),35.0659781811313,128.980386457449,051-261-5966,13,2025-12-09
사하구,주간보호시설,꿈마루 장애인 주간보호센터,부산광역시 사하구 낙동남로1405번길 26 7층(하단동),35.107936699249,128.96547408699,051-710-7371,12,2025-12-09
사하구,주간보호시설,연우장애인주간보호센터,부산광역시 사하구 다대로 413-1 1층(다대동),35.066369170713,128.980256262356,051-265-2538,12,2025-12-09
사하구,주간보호시설,더사랑장애인주간보호센터,부산광역시 사하구 윤공단로 53 1층 (다대동),35.0572114836327,128.967454822107,051-714-1293,12,2025-12-09
사하구,수어통역센터,부산광역시사하구수어통역센터,부산광역시 사하구 낙동남로 1400 402호(하단동),35.1058136022438,128.964678818051,051-203-2006,20,2025-12-09
수영구,장애인지역사회재활시설,지니장애인주간보호센터,부산광역시 수영구 연수로269번길 11 (망미동),35.17431,129.10016,051-756-2332,15,2024-01-01
수영구,장애인지역사회재활시설,두드림주간보호센터,부산광역시 수영구 망미번영로63번길 60 (망미동),35.175741,129.110039,051-756-0269,15,2024-01-01
수영구,장애인지역사회재활시설,수영구장애인주간보호센터,부산광역시 수영구 광남로 218-4 (민락동),35.158838,129.122839,051-756-1595,15,2024-01-01
수영구,장애인지역사회재활시설,해찬장애인주간보호센터,"부산광역시 수영구 망미로28번길 39, 102호 (망미동, 성우빌라)",35.170503,129.102332,051-711-4255,12,2024-01-01
수영구,장애인지역사회재활시설,수영구수어통역센터,"부산광역시 수영구 수영로 569, 4층 (광안동)",35.156877,129.112777,051-759-9344,0,2024-01-01
수영구,장애인거주시설,참사랑공동생활가정,"부산광역시 수영구 남천바다로21번길 83, 1동 105호 (광안동, 태림맨션)",35.1527,129.114909,051-755-5871,4,2024-01-01
수영구,장애인거주시설,한빛장애인공동생활가정,"부산광역시 수영구 수미로42번길 20, 2층 (수영동)",35.172867,129.115027,051-752-0266,4,2024-01-01
수영구,장애인거주시설,나사함사랑공동가정,부산광역시 수영구 무학로34번길 36 (광안동),35.160121,129.117054,051-752-4722,4,2024-01-01
수영구,장애인거주시설,편안한집장애인공동생활가정,"부산광역시 수영구 수영로610번길 112, A동 101호 (광안동, 광안빌라)",35.159524,129.119841,051-754-8080,4,2024-01-01
수영구,장애인직업재활시설,도영하우스,"부산광역시 수영구 수영로 690-5, 402호 (광안동)",35.167312,129.115839,051-714-0030,30,2024-01-01
수영구,장애인직업재활시설,징검다리,"부산광역시 수영구 과정로91번길 19-2, 1층 (망미동)",35.179451,129.105937,051-755-0383,20,2024-01-01
수영구,장애인지역사회재활시설,수영구장애인복지관,"부산광역시 수영구 장대골로 75-14 (광안동, 수영구장애인복지관)",35.159622,129.104931,051-717-0290,0,2024-01-01
남구,장애인공동생활가정,나사함나눔공동가정,부산광역시 남구 문현로23번길 30(문현동),35.143004,129.072717,051-623-8543,4,2024-08-23
강서구,장애인거주시설,동원재활원,울주군 두동면 암각화길 11,35.6180015,129.1693365,052-263-6465,79,2025-12-04
강서구,장애인거주시설,동연요양원,울주군 두동면 암각화길 11,35.6180015,129.1693365,052-263-6466,76,2025-12-04
강서구,장애인거주시설,진애생활복지원,강서구 성북2길 52,35.05619952,128.8289829,051-971-7718,40,2025-12-04
강서구,장애인거주시설,인혜원,강서구 대저중앙로394번가길 29,35.21637659,128.9868128,051-971-9209,30,2025-12-04
강서구,장애인직업재활시설,베데스다직업재활원,김해시 상동면 장척로 611-21,35.29569271,128.9272621,055-329-3666,34,2025-12-04
강서구,장애인직업재활시설,동원직업재활원,울주군 두동면 암각화길 11,35.6180015,129.1693365,052-263-6634,50,2025-12-04
강서구,장애인직업재활시설,부산장애인직업재활원,강서구 대저로89번다길 70,35.21923179,128.96701,051-868-3534,43,2025-12-04
강서구,장애인직업재활시설,한마음직업재활센터,강서구 가락대로1469-7,35.19538163,128.9015873,051-710-0913,15,2025-12-04
강서구,장애인주간이용시설,호산나장애인주간보호센터,강서구 낙동남로 611-3,35.11448131,128.8855769,051-941-9190,12,2025-12-04
강서구,장애인주간이용시설,해솔장애인주간보호센터,명지국제8로10번길 12,35.09216599,128.9021589,051-991-9700,12,2025-12-04
강서구,장애인주간이용시설,부산광역시 강서구 장애인주간이용시설,강서구 명지오션시티9로 45(3층),35.08865394,128.9016924,051-203-2203,20,2025-12-04
연제구,장애인거주시설(생활시설),성우원,부산광역시 연제구 톳고개로 48(연산동),35.1814079271572,129.10205339386,051-759-9211,54,2025-12-02
양산시,장애인거주시설(생활시설),가온들찬빛,경상남도 양산시 신명3길 125(평산동),35.3881803645589,129.139138060452,055-365-2818,50,2025-12-02
강서구,장애인거주시설,베데스다원,강서구 공항로 1319,35.21534332,128.9886126,051-971-0330,52,2025-12-04
강서구,장애인거주시설,은송의집,김해시 상동면 장척로 611-21,35.29569271,128.9272621,055-724-2341,56,2025-12-04
연제구,장애인공동생활가정,라온제나공동생활가정,"부산광역시 연제구 온천천남로 110, 51동 106호(연산동)",35.1931364543386,129.08794824249,051-867-2352,4,2025-12-02
연제구,장애인지역사회재활시설(주간이용시설),희망학교주간보호센터,부산광역시 연제구 중앙천로73번길 15(연산동),35.179767556055,129.080051762472,051-864-3927,15,2025-12-02
연제구,장애인지역사회재활시설(주간이용시설),부산광역시장애인종합복지관 주간보호센터,부산광역시 연제구 중앙대로1150번길 15(연산동),35.1905618380238,129.081545351731,051-790-6156,17,2025-12-02
연제구,장애인지역사회재활시설(수어통역센터),부산수어통역센터,"부산광역시 연제구 월드컵대로 21, 5층(연산동, 한원빌딩)",35.1765013456775,129.085442770138,051-635-3746,30,2025-12-02
연제구,장애인직업재활시설(보호작업장),양지직업재활원,부산광역시 연제구 화지로 109(거제동),35.1852123995547,129.065773682113,051-506-5432,32,2025-12-02
연제구,장애인직업재활시설(보호작업장),양지비전센터,부산광역시 연제구 화지로 109(거제동),35.1852123995547,129.065773682113,051-506-6001,25,2025-12-02
연제구,장애인직업재활시설(보호작업장),부산직업재활원,부산광역시 연제구 톳고개로 48(연산동),35.1814079271572,129.10205339386,051-759-9213,50,2025-12-02
양산시,장애인직업재활시설(보호작업장),두배일터,경상남도 양산시 신명3길 125(평산동),35.3881803645589,129.139138060452,055-365-2820,30,2025-12-02
