시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어),최종작성일
강서체육공원축구장,,레저/체육/공원,대형체육시설,지역축구장,부산광역시,강서구,대저1동,,2155 번지,체육공원로,43 번,35.21095917,128.972212,46703,부산광역시 강서구 체육공원로 43,부산광역시 강서구 대저1동 2155,051-970-1217,www.busan.go.kr/stadium/sfstadiumgsfootball,정보없음,정보없음,정보없음,매주 월요일,"체육시설마다 다름, 별도 문의",Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
강서체육공원하키경기장,,레저/체육/공원,대형체육시설,주/보조경기장,부산광역시,강서구,대저1동,,2155 번지,체육공원로,43 번,35.21095917,128.972212,46703,부산광역시 강서구 체육공원로 43,부산광역시 강서구 대저1동 2155,051-970-1200,www.busan.go.kr/stadium/sfstadiumgshockey,정보없음,정보없음,정보없음,매주 월요일,09시-18시,Y,N,Y,N,N,Y,Y,Y,Y,N,N,2022-11-25
갤러리마레,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,수영구,민락동,,336-36 번지,민락수변로,213 번,35.16171473,129.130266,48275,부산광역시 수영구 민락수변로 213,부산광역시 수영구 민락동 336-36,051-757-1114,www.gallerymare.com/,blog.naver.com/gallerymare,정보없음,정보없음,매주 월요일,10:30-18:30,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
갤러리시선,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,서구,부민동,,9-1 번지,흑교로,99 번,35.10738121,129.021981,49223,부산광역시 서구 흑교로 99,부산광역시 서구 부용동1가 9-1,051-254-7750,sisun.shop/,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,Y,N,N,N,N,Y,N,N,2022-11-25
갤러리이배,,전시/공연,전시/기념관,미술관,부산광역시,해운대구,중동,,1510-1 번지,달맞이길65번길,56 번,35.15975458,129.174626,48117,부산광역시 해운대구 달맞이길65번길 56,부산광역시 해운대구 중동 1510-1,051-756-2111,www.galleryleebae.com/,정보없음,정보없음,www.instagram.com/galleryleebae/,"매주 일요일, 월요일, 공휴일",10:30-18:30,Y,N,N,Y,N,N,N,N,N,N,Y,2022-11-25
경성대학교미술관,,전시/공연,전시/기념관,미술관,부산광역시,남구,대연동,,산 37-1 번지,수영로,309 번,35.13843836,129.100099,48434,부산광역시 남구 수영로 309,부산광역시 남구 대연동 산 37-1,051-663-5363,cms1.ks.ac.kr/culture/Contents.do?mCode=MN0972,정보없음,정보없음,정보없음,정보없음,09:00-18:00,N,Y,N,Y,N,Y,Y,Y,N,Y,N,2022-11-25
고려제강기념관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,수영구,망미동,,496 번지,구락로141번길,63 번,35.17689052,129.113461,48212,부산광역시 수영구 구락로141번길 63,부산광역시 수영구 망미동 496,051-760-2604,kiswiremuseum.com/,정보없음,정보없음,www.instagram.com/kiswiremuseum/,"매주 일요일, 월요일, 공휴일",화요일-토요일 (10:00-18:00),Y,Y,N,N,N,Y,Y,N,N,N,Y,2022-11-25
고리스포츠문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,기장군,장안읍,효암리,산 67 번지,해맞이로,454 번,35.32913971,129.287705,46036,부산광역시 기장군 장안읍 해맞이로 454,부산광역시 기장군 장안읍 효암리 산 67,051-726-5195,gorisport.co.kr/main/main.html,정보없음,정보없음,정보없음,매주 월요일,"주중 (화-금) : 06:00-22:00,-주말 및 공휴일 : 06:00-18:00",Y,N,Y,Y,N,N,Y,N,N,N,N,2022-11-25
고은사진미술관,,전시/공연,전시/기념관,미술관,부산광역시,해운대구,우동,,1005-17 번지,해운대로452번길,16 번,35.16328812,129.141211,48089,부산광역시 해운대구 해운대로452번길 16,부산광역시 해운대구 우동 1005-17,051-746-0055,www.goeunmuseum.kr/,정보없음,정보없음,www.instagram.com/goeun_museum_of_photography/,"매주 월요일, 공휴일","3월-10월 10:00-19:00, 11월-2월 10:00-18:00",N,N,N,Y,N,N,Y,N,N,N,N,2022-11-25
골프존파크,장전부산대점,레저/체육/공원,대형체육시설,N,부산광역시,금정구,장전동,,414-23 번지,부산대학로,29 번,35.23079153,129.08802,46291,부산광역시 금정구 부산광역시대학로 29,부산광역시 금정구 장전동 414-23,0507-1309-5804,정보없음,정보없음,정보없음,정보없음,연중무휴,"월-금 09:00-새벽 05:00, 토-일 08:00-새벽 05:00",Y,N,Y,Y,N,N,N,N,Y,N,N,2022-11-25
골프존파크,문현부산24점,레저/체육/공원,대형체육시설,N,부산광역시,남구,문현동,,815 번지,자성로,152 번,35.13648976,129.066904,48475,부산광역시 남구 자성로 152,부산광역시 남구 문현동 815,051-638-8080,정보없음,정보없음,정보없음,정보없음,정보없음,"평일 10:30-01:00, 주말 10:30-01:00, 공휴일 10:30-01:00",Y,N,Y,N,N,N,N,N,N,N,N,2022-11-25
골프존파크,비전스포츠점,레저/체육/공원,대형체육시설,N,부산광역시,사하구,다대동,,1573 번지,다송로72번길,82 번,35.06029272,128.979821,49521,부산광역시 사하구 다송로72번길 82,부산광역시 사하구 다대동 1573,051-266-8205,정보없음,정보없음,정보없음,정보없음,연중무휴,정보없음,Y,N,Y,N,N,N,Y,N,N,N,N,2022-11-25
골프존파크 ,범천UPGA점,레저/체육/공원,대형체육시설,N,부산광역시,부산진구,범천동,,839-32 번지,자유평화로3번길,14-21 번,35.14222628,129.061892,47366,부산광역시 부산진구 자유평화로3번길 14-21,부산광역시 부산진구 범천동 839-32,051-638-0088,정보없음,정보없음,정보없음,정보없음,연중무휴,10:00-23:00,Y,N,Y,Y,N,N,N,N,N,N,N,2022-11-25
골프존파크 녹산 golf1872,,레저/체육/공원,대형체육시설,N,부산광역시,강서구,녹산동,,735 번지,낙동남로456번길,27 번,35.11103918,128.870548,46734,부산광역시 강서구 낙동남로456번길 27,부산광역시 강서구 녹산동 735,051-202-1872,정보없음,정보없음,정보없음,정보없음,연중무휴,10:00-22:00,Y,N,Y,Y,N,N,Y,Y,N,N,N,2022-11-25
골프존파크스사모,SM스크린점,레저/체육/공원,대형체육시설,N,부산광역시,북구,화명동,,2271-3 번지,화명신도시로,129 번,35.23559885,129.01066,46524,부산광역시 북구 화명신도시로 129,부산광역시 북구 화명동 2271-3,051-334-4000,정보없음,정보없음,정보없음,정보없음,연중무휴,09:30-00:00,Y,N,Y,N,N,N,Y,N,N,N,N,2022-11-25
공간소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,남천동,,556-15 번지,황령대로,497 번,35.13817282,129.108174,48313,부산광역시 수영구 황령대로 497,부산광역시 수영구 남천동 556-15,051-611-8518,cafe.naver.com/ggtheater,정보없음,정보없음,정보없음,공연별 상이,공연일정에 따라,N,Y,N,Y,N,Y,Y,N,N,N,N,2022-11-25
공중수목원(2023년1월예정),,문화관광/명소,관광지,휴양림/수목원,부산광역시,중구,중앙동,,20-1 번지,중앙대로,2 번,35.0979849,129.036632,48944,부산광역시 중구 중앙대로 2,부산광역시 중구 중앙동7가 20-1,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
광안대로전시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,재송동,,706-7 번지,수영강변대로,203 번,35.17716342,129.120555,48050,부산광역시 해운대구 수영강변대로 203,부산광역시 해운대구 재송동 706-7,051-780-0021,gwanganbridge.bisco.or.kr/,정보없음,정보없음,정보없음,정보없음,09:00-18:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
광안리해수욕장,,문화관광/명소,관광지,해수욕장,부산광역시,수영구,광안동,,261-1 번지,,,35.15271723,129.11816,,,부산광역시 수영구 광안동 261-1,051-610-4848,www.suyeong.go.kr/tour,정보없음,정보없음,정보없음,상시변동,정보없음,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
구덕민속예술관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,서구,서대신4동,,산 2-3 번지,대신공원로,34-91 번,35.12393563,129.018483,49200,부산광역시 서구 대신공원로 34-91,부산광역시 서구 서대신동3가 산 2-3,051-242-3100,정보없음,blog.naver.com/bgdms,정보없음,정보없음,"2,4주 제외 토요일, 일요일, 공휴일","평일, 2,4주 토일 09:00-18:00",N,N,N,Y,N,N,N,N,Y,N,N,2022-11-25
구덕운동장축구장,,레저/체육/공원,대형체육시설,지역축구장,부산광역시,서구,서대신4동,,210-1 번지,망양로,57 번,35.11659638,129.01453,49204,부산광역시 서구 망양로 57,부산광역시 서구 서대신동3가 210-1,051-255-1101,www.busan.go.kr/stadium/sfgdintro,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",축구 구단이나 리그와 협약으로 운영,N,Y,N,Y,N,Y,Y,N,N,N,N,2022-11-25
구덕종합운동장,,레저/체육/공원,대형체육시설,종합운동장컴플렉스,부산광역시,서구,서대신4동,,210-1 번지,망양로,57 번,35.11659638,129.01453,49204,부산광역시 서구 망양로 57,부산광역시 서구 서대신동3가 210-1,051-602-2211,www.busan.go.kr/stadium/sfgdintro,정보없음,정보없음,정보없음,정보없음,현재공사중,N,Y,N,Y,N,Y,Y,N,N,N,N,2022-11-25
구락생활문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,망미동,,257-2 번지,수미로35번길,40 번,35.17532688,129.11526,48216,부산광역시 수영구 수미로35번길 40,부산광역시 수영구 망미동 257-2,051-610-8947,정보없음,blog.naver.com/gurakccc,정보없음,정보없음,매주 일요일,월-금09:00-19:00 토 09:00-17:00,Y,N,N,N,N,N,N,N,Y,Y,N,2022-11-25
국가기록원부산기록관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,연제구,거제동,,1400 번지,경기장로,28 번,35.19080037,129.05368,47500,부산광역시 연제구 경기장로 28,부산광역시 연제구 거제동 1400,051-550-8023,https://www.archives.go.kr,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
국립달음산자연휴양림,,문화관광/명소,관광지,휴양림/수목원,부산광역시,기장군,일광읍,용천리,산 252 번지,화용길,299-106 번,35.30270542,129.185395,46046,부산광역시 기장군 일광읍 화용길 299-106,부산광역시 기장군 일광읍 용천리 산 252,051-722-3023,www.foresttrip.go.kr/indvz/main.do?hmpgId=0202,정보없음,정보없음,정보없음,매주 화요일,09:00-18:00,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,2022-11-25
국립부산과학관,,전시/공연,전시/기념관,대형전시/박물관,부산광역시,기장군,기장읍,석산리,293 번지,동부산관광6로,59 번,35.20442158,129.2126,46081,부산광역시 기장군 기장읍 동부산광역시관광6로 59,부산광역시 기장군 기장읍 석산리 293,051-750-2300,www.sciport.or.kr/kor/Main.do,blog.naver.com/sciport2016,www.facebook.com/sciport2016,www.instagram.com/sciport_busan/,"매주 월요일, 공휴일",09:30-17:30 (입장 마감시간 16:30),N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
국립부산국악원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,부산진구,연지동,,219-2 번지,국악로,2 번,35.17145978,129.05413,47130,부산광역시 부산진구 국악로 2,부산광역시 부산진구 연지동 219-2,051-811-0114,busan.gugak.go.kr/main.do,정보없음,www.facebook.com/busan.gugak2008,정보없음,"매주 일요일, 월요일, 공휴일",화-토 오전 9:00-오후 6:00,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
국립수산과학원수산과학관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,기장군,기장읍,시랑리,408-1 번지,기장해안로,216 번,35.19109529,129.222284,46083,부산광역시 기장군 기장읍 기장해안로 216,부산광역시 기장군 기장읍 시랑리 408-1,051-720-3061,https://url.kr/yp5jdr,정보없음,정보없음,정보없음,매주 월요일,화-일 09:30-17:30,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,2022-11-25
국립해양박물관,,전시/공연,전시/기념관,대형전시/박물관,부산광역시,영도구,동삼동,,1156 번지,해양로301번길,45 번,35.07856342,129.080245,49111,부산광역시 영도구 해양로301번길 45,부산광역시 영도구 동삼동 1156,051-309-1900,www.mmk.or.kr/,blog.naver.com/museum4you,www.facebook.com/museum4u,정보없음,"매주 월요일, 공휴일","평일(화-금요일) 09:00-18:00, 토요일 5-8월 09:00-21:00, 9-4월 09:00-19:00, 일,공휴일 09:00-19:00 (설,추석익일, 어린이날, 광복절 09:00-21:00)",N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,2022-11-25
국민생활체육전국요트연합회,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,051-747-9113,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
국제환경에너지산업전,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,우동,,1500 번지,APEC로,55 번,35.16906372,129.136018,48060,부산광역시 해운대구 APEC로 55,부산광역시 해운대구 우동 1500,051-740-7486,entechkorea.net/wp/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
그루터기공방,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,금정구,두구동,,302-3 번지,체육공원로,609 번,35.29504845,129.111327,46206,부산광역시 금정구 체육공원로 609,부산광역시 금정구 두구동 302-3,,정보없음,blog.naver.com/gru3303,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
그린앤테크지사GDR연습장,,레저/체육/공원,대형체육시설,N,부산광역시,강서구,지사동,,1215-2 번지,과학산단로,349 번,35.14866365,128.831181,46742,부산광역시 강서구 과학산단로 349,부산광역시 강서구 지사동 1215-2,051-832-5595,m.golfzon.com/shop/#/main/16199,정보없음,정보없음,정보없음,정보없음,09:00-새벽 00:30,Y,N,Y,Y,N,N,Y,Y,N,N,N,2022-11-25
금강공원,,문화관광/명소,관광지,일반유원지/일반놀이공원,부산광역시,동래구,온천동,,산 17-7 번지,우장춘로,157-67 번,35.22225706,129.07348,47700,부산광역시 동래구 우장춘로 157-67,부산광역시 동래구 온천동 산 17-7,051-860-7880,www.bisco.or.kr/geumgangpark/,정보없음,정보없음,정보없음,연중무휴,매일 09:00-18:00,N,Y,Y,Y,N,Y,Y,N,Y,N,N,2022-11-25
금강식물원,,문화관광/명소,관광지,식물원,부산광역시,동래구,온천동,,산 1-13 번지,우장춘로,221 번,35.22604813,129.077136,47700,부산광역시 동래구 우장춘로 221,부산광역시 동래구 온천동 산 1-13,051-582-3284,정보없음,정보없음,정보없음,정보없음,연중무휴,08:00-17:00,N,N,Y,N,N,N,N,N,Y,Y,N,2022-11-25
금난새뮤직센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,망미동,,475-1 번지,구락로123번길,20 번,35.17623464,129.115567,48212,부산광역시 수영구 구락로123번길 20,부산광역시 수영구 망미동 475-1,051-756-0037,정보없음,정보없음,정보없음,www.instagram.com/gumnanse.music.center/,정보없음,정보없음,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,2022-11-25
금사락,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,금정구,회동동,,157-6 번지,개좌로,162 번,35.2259608,129.118326,46259,부산광역시 금정구 개좌로 162,부산광역시 금정구 회동동 157-6,070-4322-3557,www.kumsarock.com/,정보없음,정보없음,정보없음,대관개념이라 유동적,매일 10:00-18:00(공연에따라),Y,Y,Y,Y,N,N,N,N,Y,N,N,2022-11-25
금정골프트러블샷연습장,,레저/체육/공원,대형체육시설,N,부산광역시,금정구,남산동,,388-1 번지,,,35.27110616,129.094183,46214,,부산광역시 금정구 남산동 388-1,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
금정구민운동장,,레저/체육/공원,대형체육시설,지역(마을/단지)운동장,부산광역시,금정구,두구동,,1482-22 번지,,,35.27836242,129.105009,46209,,부산광역시 금정구 두구동 1482-22,051-519-4126,https://url.kr/d52ztm,정보없음,정보없음,정보없음,정보없음,"하절기(4-9월) : 08-19시, 동절기(10-3월) : 08-18시",Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-25
금정문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,금정구,구서동,,83-3 번지,중앙대로1826번길,10-4 번,35.24729036,129.093187,46250,부산광역시 금정구 중앙대로1826번길 10-4,부산광역시 금정구 구서동 83-3,051-581-9071,www.kumjung.or.kr/main.php,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,N,N,Y,N,Y,Y,N,N,Y,N,2022-11-25
금정산성,동문,문화관광/명소,명승지,성/성터,부산광역시,금정구,금성동,,산 41-4 번지,동문로,38 번,35.24623162,129.063466,46237,부산광역시 금정구 동문로 38,부산광역시 금정구 금성동 산 41-4,051-519-4082,https://url.kr/fq43mu,정보없음,정보없음,정보없음,정보없음,상시개방,Y,N,N,N,N,N,N,N,Y,N,N,2022-11-25
기장도예촌(2023년1월예정),,문화관광/명소,관광지,N,부산광역시,기장군,장안읍,기룡리,산 126 번지,장안로,211 번,35.36009981,129.240029,46028,부산광역시 기장군 장안읍 장안로 211,부산광역시 기장군 장안읍 기룡리 산 126,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
기장동원로얄CC,,레저/체육/공원,대형레저시설,골프장CC,부산광역시,기장군,기장읍,만화리,산 104-5 번지,반송로,1345 번,35.25254255,129.189224,46052,부산광역시 기장군 기장읍 반송로 1345,부산광역시 기장군 기장읍 만화리 산 104-5,0507-1442-6002,www.dongwongolf.co.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,Y,N,N,N,Y,N,N,Y,N,2022-11-25
기장풋살클럽,,레저/체육/공원,대형체육시설,지역축구장,부산광역시,기장군,일광읍,삼성리,158 번지,일역길,37 번,35.25689278,129.232362,46044,부산광역시 기장군 일광읍 일역길 37,부산광역시 기장군 일광읍 삼성리 158,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,Y,Y,Y,N,N,N,N,N,N,N,2022-11-25
기장해녀촌,,문화관광/명소,관광지,유명관광지,부산광역시,기장군,기장읍,연화리,119-10 번지,연화1길,184 번,35.21838339,129.228086,46082,부산광역시 기장군 기장읍 연화1길 184,부산광역시 기장군 기장읍 연화리 119-10,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,Y,N,N,N,N,Y,N,N,2022-11-25
꽈꾸극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,남천동,,69-10 번지,수영로,417-2 번,35.1434455,129.108727,48316,부산광역시 수영구 수영로 417-2,부산광역시 수영구 남천동 69-10,051-611-0075,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
꿈나래어린이극장,,전시/공연,영화/연극/공연,N,부산광역시,금정구,두구동,,1641 번지,체육공원로399번길,324 번,35.28912174,129.107042,46207,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,1577-0880,m.spo1.or.kr/spo1/contents/view.do?mId=103,blog.naver.com/spo1_park,www.facebook.com/spo1park,www.instagram.com/spo1_park/,정보없음,09:00-21:00,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
나이스스크린골프,,레저/체육/공원,대형체육시설,N,부산광역시,해운대구,반여동,,1200-2 번지,수영강변대로,504 번,35.20290438,129.118884,48038,부산광역시 해운대구 수영강변대로 504,부산광역시 해운대구 반여동 1200-2,051-531-0604,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
낙동강둔치공원,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,강서구,대저1동,,1-5 번지,,,35.2158481,128.991446,46703,,부산광역시 강서구 대저1동 1-5,051-310-6028,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00-24:00,Y,N,N,N,N,Y,Y,Y,Y,Y,N,2022-11-25
낙동강문화관,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,사하구,하단동,,1150-2 번지,낙동남로1233번길,1 번,35.1082527,128.947419,49300,부산광역시 사하구 낙동남로1233번길 1,부산광역시 사하구 하단동 1150-2,051-292-1042,www.kweco.or.kr/,blog.naver.com/4u_wwp,정보없음,www.instagram.com/nakdong_/,매주 월요일,매일09:30-17:30 12:00-13:00 휴게시간,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,2022-11-25
낙동강아트홀(2023년7월예정),,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,강서구,명지동,,630-8 번지,,,35.10172962,128.904248,46726,부산광역시 강서구 명지국제1로 141,부산광역시 강서구 명지동 630-8,051-970-2771,https://www.busan.go.kr/eng/bsfacility01/1734149,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
낙동강철새도래지,,문화관광/명소,관광지,N,부산광역시,강서구,명지동,,,,,35.10822745,128.926451,,,부산광역시 강서구 명지동,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
