NO,설치위치,전화번호,도로명주소,지번주소,위도,경도,카카오_매칭주소
12,(주)대한항공테크센터K-1차량내부(K-1 차량내부),051-970-5182,부산광역시 강서구 테크센터로 55(대저2동),부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
13,(주)대한항공테크센터복합재2공장1층(복합재2공장 1층),051-970-5182,부산광역시 강서구 테크센터로 55(대저2동),부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
14,(주)대한항공테크센터전자공장1층(전자공장 1층),051-970-5182,부산광역시 강서구 테크센터로 55(대저2동),부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
15,(주)대한항공테크센터창공회관3층(창공회관 3층),051-970-5182,부산광역시 강서구 테크센터로 55(대저2동),부산광역시 강서구 대저2동 103-1,35.1767269175092,128.934279540547,부산 강서구 테크센터로 55
16,(주)동원개발해운대중동비스타오션헤리티지(경비실),051-744-0805,부산광역시 해운대구 구남로29번길 26(중동),부산광역시 해운대구 중동 1380-22,35.1622638137945,129.161952837521,부산 해운대구 구남로29번길 26
17,(주)롯데쇼핑롯데마트사상점(1층 안내데스크),051-329-2500,"부산광역시 사상구 낙동대로 733, 롯데마트 사상점 (엄궁동)",부산광역시 사상구 엄궁동 690 롯데마트 사상점,35.1275983422866,128.968358334702,부산 사상구 낙동대로 733
18,(주)부산롯데호텔(로비(컨시어지)),051-810-5654,"부산광역시 부산진구 가야대로 772, 부산롯데호텔 (부전동)",부산광역시 부산진구 부전동 503-15 부산롯데호텔,35.156789983664,129.056416218143,부산 부산진구 가야대로 772
19,(주)비엠티(공장A동 1층),051-780-5032,부산광역시 기장군 장안읍 신소재산단2로 17,부산광역시 기장군 장안읍 반룡리 878-1,35.3417947158768,129.26689248965,부산 기장군 장안읍 신소재산단2로 17
20,(주)비엠티(생활관 1층),051-780-5032,부산광역시 기장군 장안읍 신소재산단2로 17,부산광역시 기장군 장안읍 반룡리 878-1,35.3417947158768,129.26689248965,부산 기장군 장안읍 신소재산단2로 17
21,(주)에이비엘생명보험(1층 로비),051-644-5219,"부산광역시 부산진구 중앙대로 640, ABL 부산타워 (범천동)",부산광역시 부산진구 범천동 862-1 ABL 부산타워,35.1497327738588,129.059753113622,부산 부산진구 중앙대로 640
22,(주)엘에스일렉트릭(2생산동1층 엘리베이터 앞),051-795-6117,부산광역시 강서구 화전산단5로117번길 35 (화전동),부산광역시 강서구 화전동 552-2,35.1115109572608,128.874916128736,부산 강서구 화전산단5로117번길 35
23,(주)엘에스일렉트릭(2생산동 시험실 복도),051-795-6117,부산광역시 강서구 화전산단5로117번길 35 (화전동),부산광역시 강서구 화전동 552-2,35.1115109572608,128.874916128736,부산 강서구 화전산단5로117번길 35
24,(주)엘에스일렉트릭(2생산동 조립반 안쪽),051-795-6117,부산광역시 강서구 화전산단5로117번길 35 (화전동),부산광역시 강서구 화전동 552-2,35.1115109572608,128.874916128736,부산 강서구 화전산단5로117번길 35
25,(주)엘에스일렉트릭(경비동 접견실),051-795-6117,부산광역시 강서구 화전산단5로117번길 35 (화전동),부산광역시 강서구 화전동 552-2,35.1115109572608,128.874916128736,부산 강서구 화전산단5로117번길 35
26,(주)엘에스일렉트릭(건강관리실),051-795-6117,부산광역시 강서구 화전산단5로117번길 35 (화전동),부산광역시 강서구 화전동 552-2,35.1115109572608,128.874916128736,부산 강서구 화전산단5로117번길 35
27,(주)엘에스일렉트릭(1생산동 조립반 안쪽),051-795-6117,부산광역시 강서구 화전산단5로117번길 35 (화전동),부산광역시 강서구 화전동 552-2,35.1115109572608,128.874916128736,부산 강서구 화전산단5로117번길 35
28,(주)오토닉스(6층 로비),051-519-3014,"부산광역시 해운대구 반송로513번길 18, (주)오토닉스 (석대동)",부산광역시 해운대구 석대동 629,35.2200119945474,129.119365622026,부산 해운대구 반송로513번길 18
29,(주)오토닉스(1층 로비),051-519-3014,"부산광역시 해운대구 반송로513번길 18, (주)오토닉스 (석대동)",부산광역시 해운대구 석대동 629,35.2200119945474,129.119365622026,부산 해운대구 반송로513번길 18
30,(주)이마트금정점(1층정문),051-606-1234,"부산광역시 금정구 중앙대로1841번길 24, (주)이마트금정점 1층 (구서동)",부산광역시 금정구 구서동 368 (주)이마트금정점,35.2499415346867,129.090596231215,부산 금정구 중앙대로1841번길 24
31,(주)이마트금정점(2층매장입구),051-606-1234,"부산광역시 금정구 중앙대로1841번길 24, (주)이마트금정점 2층 (구서동)",부산광역시 금정구 구서동 368 (주)이마트금정점,35.2499415346867,129.090596231215,부산 금정구 중앙대로1841번길 24
32,(주)이마트사상점(2층 고객센터),051-329-1119,부산광역시 사상구 광장로 17  (괘법동),부산광역시 사상구 괘법동 531-2 이마트,35.1642365382579,128.978888681143,부산 사상구 광장로 17
33,(주)이마트해운대점(1층 고객만족센터),051-608-1234,"부산광역시 해운대구 좌동순환로 511, 이마트해운대점 (중동)",부산광역시 해운대구 중동 1767 이마트해운대점,35.1660208153462,129.167373764158,부산 해운대구 좌동순환로 511
34,(주)조선호텔앤리조트부산(지하 1층 직원 출입구),051-749-7215,"부산광역시 해운대구 동백로 67, (주)조선호텔앤리조트 부산 (우동)",부산광역시 해운대구 우동 737 (주)조선호텔앤리조트 부산,35.1559933232415,129.154042762478,부산 해운대구 동백로 67
35,"(주)중앙구일일(78어3601(의료기관 위탁 구급차, 삼육병원))",051-246-0911,부산광역시 서구 대영로73번길 116 (동대신동3가),부산광역시 서구 동대신동3가 156-44,35.1154085848085,129.016683320688,부산 서구 대영로73번길 116
36,(주)트랜스코스모스코리아부산1센터(HJ중공업 12층 엘리베이터 앞),02-790-8214,"부산광역시 중구 충장대로 6, 한진중공업R&D센터 12층 (중앙동4가)",부산광역시 중구 중앙동4가 22-1 한진중공업R&D센터,35.1046980703093,129.037122021002,부산 중구 충장대로 6
37,(주)호텔롯데시그니엘부산(B1층 피난안전구역),051-922-1330,"부산광역시 해운대구 달맞이길 30(중동, 엘시티)",부산광역시 해운대구 중동 1829 엘시티,35.1613327099223,129.168013841974,부산 해운대구 달맞이길 30
38,(주)호텔롯데시그니엘부산(3층 로비데스크),051-922-1330,"부산광역시 해운대구 달맞이길 30(중동, 엘시티)",부산광역시 해운대구 중동 1829 엘시티,35.1613327099223,129.168013841974,부산 해운대구 달맞이길 30
39,(주)호텔롯데시그니엘부산(B2층 피난안전구역),051-922-1330,"부산광역시 해운대구 달맞이길 30(중동, 엘시티)",부산광역시 해운대구 중동 1829 엘시티,35.1613327099223,129.168013841974,부산 해운대구 달맞이길 30
40,(주)호텔롯데시그니엘부산(6층 수영장),051-922-1330,"부산광역시 해운대구 달맞이길 30(중동, 엘시티)",부산광역시 해운대구 중동 1829 엘시티,35.1613327099223,129.168013841974,부산 해운대구 달맞이길 30
41,BHS한서병원(8병동),051-756-0081,"부산광역시 수영구 수영로 615, BHS한서병원 (광안동)",부산광역시 수영구 광안동 491-10 BHS한서병원,35.1610469496207,129.112881923838,부산 수영구 수영로 615
42,BHS한서병원(인공신장실(신관3층)),051-756-0081,"부산광역시 수영구 수영로 615, BHS한서병원 (광안동)",부산광역시 수영구 광안동 491-10 BHS한서병원,35.1610469496207,129.112881923838,부산 수영구 수영로 615
43,BHS한서병원(2층 심장내과 외래),051-756-0081,"부산광역시 수영구 수영로 615, BHS한서병원 (광안동)",부산광역시 수영구 광안동 491-10 BHS한서병원,35.1610469496207,129.112881923838,부산 수영구 수영로 615
44,BMC반송지구아파트(통합경비센터),051-542-4050,부산광역시 해운대구 신반송로 159,부산광역시 해운대구 반송동 880 도개공아파트,35.2285070742142,129.16251094573,부산 해운대구 신반송로 159
45,GS25부산항대교점(GS25 부산항대교점 매장내),010-****-****,부산광역시 영도구 해양로 12(청학동),부산광역시 영도구 청학동 326-7,35.0990621891176,129.057963930098,부산 영도구 해양로 12
46,GS25서구어시장점(편의점 입구 왼쪽 벽),010-****-****,부산광역시 서구 충무대로 158 (남부민동),부산광역시 서구 남부민동 693-4,35.084634780451,129.025003785068,부산 서구 충무대로 158
47,GS25송도해수욕장점(편의점 내 창고 옆),2469486,"부산광역시 서구 충무대로34번길 47, 101호 (암남동, 송도비치텔)",부산광역시 서구 암남동 236-3 송도비치텔,35.0767182932494,129.017100330998,부산 서구 충무대로34번길 47
48,LG신주례2단지아파트(경로당(관리동 1층)),051-316-7706,"부산광역시 사상구 백양대로342번길 17  (주례동, 엘지신주례아파트)",부산광역시 사상구 주례동 10-4 엘지신주례아파트,35.1538797351637,129.012849826569,부산 사상구 백양대로342번길 17
49,LH뜨란채아파트(관리사무소 2층 입구),051-742-8863,"부산광역시 해운대구 대천로67번길 18  (좌동, LH뜨란채아파트)",부산광역시 해운대구 좌동 1278 LH뜨란채아파트,35.1738310496907,129.168251250103,부산 해운대구 대천로67번길 18
50,e편한세상서면더센트럴(관리사무소),051-639-9945,"부산광역시 부산진구 신암로 133(범천동, e편한세상 서면 더센트럴)",부산광역시 부산진구 범천동 1187 e편한세상 서면 더센트럴,35.1520548371687,129.049897995425,부산 부산진구 신암로 133
51,e편한세상오션테라스아파트(4단지 관리사무소 입구),051-759-8010,"부산광역시 수영구 광안해변로326번길 31 (민락동, e편한세상 오션테라스 4단지)",부산광역시 수영구 민락동 782 e편한세상 오션테라스 4단지,35.1553352497739,129.129629375194,부산 수영구 광안해변로326번길 31
52,gs칼텍스(주)부산물류센터(본관동 1층 주 출입구),051-640-8442,부산광역시 남구 신선로 180,부산광역시 남구 감만동  254-13 GS칼텍스,35.1103086525616,129.084003606437,부산 남구 신선로 180
53,sealife부산아쿠아리움수족관(아쿠아리움 입구(지하2층)),051-740-1700,부산광역시 해운대구 해운대해변로 266  (중동),부산광역시 해운대구 중동 1411-4 부산아쿠아리움,35.1591996329783,129.161015391536,부산 해운대구 해운대해변로 266
54,w아파트(C동30층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
55,w아파트(B동57층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
56,w아파트(C동57층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
57,w아파트(A동30층-2),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
58,w아파트(B동30층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
59,w아파트(A동57층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
60,w아파트(커뮤니티 데스크),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
61,w아파트(D동57층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
62,w아파트(방재실 출입구),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
63,w아파트(D동30층-1),051-621-6277,"부산광역시 남구 분포로 145 (용호동, 더블유)",부산광역시 남구 용호동 954 더블유,35.1342294576999,129.111216765972,부산 남구 분포로 145
64,가덕도보건지소(지소 안),051-970-4797,"부산광역시 강서구 성북1길 70-1, 가덕도보건지소 (성북동)",부산광역시 강서구 성북동 440번지 가덕도보건지소,35.0535980303765,128.830429328044,부산 강서구 성북1길 70-1
65,가락타운1단지아파트(관리사무실 앞 배치함),051-204-9566,"부산광역시 사하구 하신번영로 365(하단동, 가락타운1단지)",부산광역시 사하구 하단동 1161-2 가락타운1단지,35.1102986564977,128.958536370229,부산 사하구 하신번영로 365
66,가락타운2.3단지아파트(관리사무소 출입구 벽면(들어오는입구)),051-204-7668,"부산광역시 사하구 하신중앙로 265 (하단동,가락타운2.3단지) 관리사무소","부산광역시 사하구 하단동  1176 가락타운2？3단지 (하단동,가락타운2.3단지) 관리사무소",35.0999288113798,128.958483967219,부산 사하구 하신중앙로 265
67,가야2동주민센터(동주민센터 입구),051-605-6841,부산광역시 부산진구 엄광로147번길 37(가야동),부산광역시 부산진구 가야동 519-1,35.1491860453758,129.031742005168,부산 부산진구 엄광로147번길 37
68,가야롯데캐슬골드아너아파트(커뮤니티센터 헬스장 입구),051-898-4535,부산광역시 부산진구 가야대로 538,부산광역시 부산진구 가야동 186 가야롯데캐슬골드아너,35.1532102220527,129.030537782842,부산 부산진구 가야대로 538
69,가야반도보라빌아파트(아파트관리사무실안),051-898-9660,"부산광역시 부산진구 가야공원로 41  (가야동, 가야반도보라빌)",부산광역시 부산진구 가야동 588 가야반도보라빌,35.1505026878858,129.032373713462,부산 부산진구 가야공원로 41
70,가야역롯데캐슬스카이엘(4동 1층),051-896-2411,"부산광역시 부산진구 가야대로 661 (가야동, 가야역 롯데캐슬 스카이엘)",부산광역시 부산진구 가야동 702 가야역 롯데캐슬 스카이엘,35.1565193801508,129.04401214104,부산 부산진구 가야대로 661
71,감만동일스위트아파트(관리사무소 입구),051-639-5557,부산광역시 남구 우암로104번길 29,부산광역시 남구 감만동 73-212 감만동일스위트아파트,35.1191533416803,129.083251696487,부산 남구 우암로104번길 29
72,감전LH아파트(경비실 1초소),051-317-7739,"부산광역시 사상구 백양대로 539 (감전동, 감전 엘에이치아파트)",부산광역시 사상구 감전동 961번지 감전 엘에이치아파트,35.1553216300757,128.994240006796,부산 사상구 백양대로 539
73,감전LH아파트(부산광역시 사상구 백양대로 539 감전LH아파트관리사무소 내),051-317-7739,"부산광역시 사상구 백양대로 539 (감전동, 감전 엘에이치아파트)",부산광역시 사상구 감전동 961번지 감전 엘에이치아파트,35.1553216300757,128.994240006796,부산 사상구 백양대로 539
74,감전동행정복지센터(감전동행정복지센터 내),051-310-3121,부산광역시 사상구 새벽시장로56번길 20  (감전동),부산광역시 사상구 감전동 920-10 감전동 주민센터,35.1542013803796,128.979407622194,부산 사상구 새벽시장로56번길 20
75,감전지하철역(역무안전실 출입문 옆),051-678-6226,"부산광역시 사상구 사상로 지하93-1, 감전역 (감전동)",부산광역시 사상구 감전동 174 감전역,35.1555354610669,128.991267078925,부산 사상구 사상로 지하 93-1
76,감천2동 마을건강센터(출입구(1층)),051-208-8252,"부산광역시 사하구 감내1로 201, 감내별빛센터(건강센터동) (감천동)",부산광역시 사하구 감천동 6번지 478호 감내별빛센터(건강센터동),35.0964556422044,129.009283342435,부산 사하구 감내1로 201
77,강서구보건소 가락지소(가락보건지소 로비),051-970-4798,부산광역시 강서구 가락대로 1476-1 가락보건지소 (죽림동),부산광역시 강서구 죽림동 717-1 가락보건지소,35.1964065782397,128.901807628802,부산 강서구 가락대로 1476
78,강서구보건소 강동지소(강동보건지소 로비),051-970-4795,부산광역시 강서구 낙동북로102번길 76  (강동동),부산광역시 강서구 강동동 60-3 강동보건지소,35.2162042962391,128.937670995547,부산 강서구 낙동북로102번길 76
79,강서노인종합복지관(본관 1층 로비),051-972-4851,부산광역시 강서구 체육공원로 39(대저1동),부산광역시 강서구 대저1동 2812,35.2073302497845,128.973466462756,부산 강서구 체육공원로 39
80,강서체육공원(강서체육공원 방재실 입구),051-970-1215,"부산광역시 강서구 체육공원로 43, 강서체육공원 (대저1동)",부산광역시 강서구 대저1동 2155번지 강서체육공원,35.210959604558,128.972212954062,부산 강서구 체육공원로 43
81,개금1동주민센터(동주민센터 입구),051-605-4920,부산광역시 부산진구 가야대로454번길 9  (개금동),부산광역시 부산진구 개금동 503-18 개금1동주민센터,35.1526905327323,129.021907569328,부산 부산진구 가야대로454번길 9
82,개금2동주민센터(민원실 내),051-605-6918,부산광역시 부산진구 복지로 93  (개금동),부산광역시 부산진구 개금동 633-5 개금2동 주민센터,35.1448583191642,129.019468914853,부산 부산진구 복지로 93
83,개금2지구아파트(아파트 통합경비센터),051-898-0051,부산광역시 부산진구 백양관문로77번길 145 통합경비센터,부산광역시 부산진구 개금동 1-1 개금2지구 도개공영구임대아파트 통합경비센터,35.1632517194987,129.023109473947,부산 부산진구 백양관문로77번길 145
84,개금3동주민센터(동주민센터 입구),051-605-6921,부산광역시 부산진구 개금본동로 88  (개금동),부산광역시 부산진구 개금동 428-8 개금3동 주민센터,35.1557805607544,129.021982733254,부산 부산진구 개금본동로 88
85,개금다락방(2층 계단),051-605-6897,부산광역시 부산진구 복지로41번길 53 (개금동),부산광역시 부산진구 개금동 554번지 146호,35.1501855409327,129.02335972544,부산 부산진구 복지로41번길 53
86,개금시영아파트(관리사무실),051-891-5287,"부산광역시 부산진구 진사로61번길 29  (개금동, 개금시영아파트)",부산광역시 부산진구 개금동 627-1 개금시영아파트,35.1466044705799,129.017038077616,부산 부산진구 진사로61번길 29
87,개금이진젠시티아파트(경비실 입구),051-891-2003,"부산광역시 부산진구 가야대로 497(개금동, 이진 젠시티 개금)",부산광역시 부산진구 개금동 187-1 이진 젠시티 개금,35.1536845951425,129.02625480982,부산 부산진구 가야대로 497
88,개금주공2단지아파트(정문 경비반장 초소 내),051-895-6631,"부산광역시 부산진구 백양관문로 7  (개금동, 개금주공아파트)",부산광역시 부산진구 개금동 53 개금주공아파트,35.160050673057,129.030352293763,부산 부산진구 백양관문로 7
89,거제3동행정복지센터(민원실 내),051-665-5751,부산광역시 연제구 거제대로 180  (거제동),부산광역시 연제구 거제동 581-1 거제3동 행정복지센터,35.1842855093959,129.071200965912,부산 연제구 거제대로 180
90,거제건강생활지원센터(1층 출입구),051-665-5420,부산광역시 연제구 해맞이로 53 (거제동),부산광역시 연제구 거제동 676-316,35.179185304331,129.067780407776,부산 연제구 해맞이로 53
91,거제동롯데캐슬피렌체아파트(방재실),051-504-2757,"부산광역시 연제구 월드컵대로 266 (거제동, 거제동 롯데캐슬피렌체)",부산광역시 연제구 거제동 1510 거제동 롯데캐슬피렌체,35.1917419909489,129.068278343686,부산 연제구 월드컵대로 266
92,거제센트럴자이아파트(관리사무소 내),051-866-9451,"부산광역시 연제구 법원북로 93 (거제동, 거제센트럴자이)",부산광역시 연제구 거제동 307번지 6호 거제센트럴자이,35.193410924204,129.075544485213,부산 연제구 법원북로 93
93,거제쌍용스윗닷홈아파트(보안실내),051-501-9387,"부산광역시 연제구 법원북로 13 (거제동, 쌍용아파트)",부산광역시 연제구 거제동 1475 쌍용아파트,35.1937185677886,129.068928069495,부산 연제구 법원북로 13
94,거제쌍용스윗닷홈아파트(관리사무소 앞),051-501-9387,"부산광역시 연제구 법원북로 13 (거제동, 쌍용아파트)",부산광역시 연제구 거제동 1475 쌍용아파트,35.1937185677886,129.068928069495,부산 연제구 법원북로 13
95,거제유림아시아드타워아파트(관리사무소 앞),051-507-5430,"부산광역시 연제구 화지로 84(거제동, 유림아시아드타워)",부산광역시 연제구 거제동 768-1 유림아시아드타워,35.1820903232345,129.066104395425,부산 연제구 화지로 84
96,경남마리나아파트(106동 경비실),051-747-5547,"부산광역시 해운대구 해운대해변로 99  (우동, 경남마리나아파트)",부산광역시 해운대구 우동 1388-1 경남마리나아파트,35.1611586505307,129.142559403507,부산 해운대구 해운대해변로 99
97,경남선경아파트(아파트 관리사무소 2층 방재실내),051-701-0385,부산광역시 해운대구 청사포로 27 아파트관리사무소,부산광역시 해운대구 좌동 1448 경남선경아파트 아파트관리사무소,35.1665220867177,129.18642275724,부산 해운대구 청사포로 27
98,경남정보대학교(ICT관 1층),051-320-1484,"부산광역시 사상구 주례로 45, 경남정보대학교 (주례동)",부산광역시 사상구 주례동 81번지 경남정보대학교,35.1464508547704,129.009070654332,부산 사상구 주례로 45
99,경남정보대학교(민석기념관 1층),051-320-1484,"부산광역시 사상구 주례로 45, 경남정보대학교 (주례동)",부산광역시 사상구 주례동 81번지 경남정보대학교,35.1464508547704,129.009070654332,부산 사상구 주례로 45
100,경동아파트(경비실 내),051-746-9527,부산광역시 해운대구 해운대해변로 85,부산광역시 해운대구 우동 974 경동아파트,35.1618278396226,129.142635887201,부산 해운대구 해운대해변로 85
101,고촌역4호선(고객센터 입구),051-678-6413,"부산광역시 기장군 철마면 반송로 991, 고촌역",부산광역시 기장군 철마면 고촌리 518-2 고촌역,35.2359709392736,129.160444908653,부산 기장군 철마면 반송로 991
102,공군제5공중기동비행단(운영팀사무실),051-979-3641,"부산광역시 강서구 공항진입로42번길 54, 김해체력단련장 (대저2동)",부산광역시 강서구 대저2동 794,35.1831289219132,128.948324703076,부산 강서구 공항진입로42번길 54
103,광복동주민센터(주민센터 입구),051-600-6371,"부산광역시 중구 광복로55번길 10, 광복동사무소 (신창동1가)",부산광역시 중구 신창동1가 9-1 광복동사무소,35.0999599283178,129.030401003961,부산 중구 광복로55번길 10
104,광안4동행정복지센터(1층 민원실),051-610-5981,부산광역시 수영구 수영로 541(광안동),부산광역시 수영구 광안동 379-29,35.1541028041882,129.111934121182,부산 수영구 수영로 541
105,광안자이아파트(주민공동시설(관리사무소 함께 위치)의 지상1층),051-717-3420,"부산광역시 수영구 호암로29번길 50 (광안동, 광안자이)",부산광역시 수영구 광안동 1334 광안자이,35.1552831735431,129.109801726186,부산 수영구 호암로29번길 50
106,괘법동행정복지센터(괘법동행정복지센터 내),051-310-3101,부산광역시 사상구 광장로97번길 6  (괘법동),부산광역시 사상구 괘법동 541-24 괘법동주민센터,35.1637586452123,128.987193090648,부산 사상구 광장로97번길 6
107,구덕도서관(구덕도서관 1층 로비),051-220-3802,"부산광역시 서구 대신공원로 41, 부산광역시립구덕도서관 (서대신동3가)",부산광역시 서구 서대신동3가 산 2번지 3호 부산광역시립구덕도서관,35.1216819892774,129.016896778437,부산 서구 대신공원로 41
108,"구서선경1,2차 아파트(관리사무소)",051-513-0876,"부산광역시 금정구 구서중앙로 20(구서동, 선경아파트)",부산광역시 금정구 구서동 185-1 선경아파트,35.2560057821536,129.088358330187,부산 금정구 구서중앙로 20
109,구평대림e편한세상1차아파트(경비실 1초소 내(정문)),051-266-7188,"부산광역시 사하구 서포로30번길 26 (구평동, e편한세상 사하1차)",부산광역시 사하구 구평동 517 e편한세상 사하1차,35.0809670275315,128.986262867272,부산 사하구 서포로30번길 26
110,구포노르웨이숲1차아파트(관리실 내),051-335-4112,"부산광역시 북구 낙동북로 737(구포동, 유림노르웨이숲아파트)",부산광역시 북구 구포동 1293 유림노르웨이숲아파트,35.1961752229541,129.002949307881,부산 북구 낙동북로 737
111,구포삼정그린코아아파트(정문경비실 내),051-338-3006,"부산광역시 북구 백양대로1016번길 10 (구포동, 삼정그린코아)",부산광역시 북구 구포동 1095-2 삼정그린코아,35.1955122900511,128.995071289777,부산 북구 백양대로1016번길 10
112,구포성심병원(1층 영상의학팀 접수처),051-330-2001,"부산광역시 북구 낙동대로 1786, 구포성심병원 (구포동)",부산광역시 북구 구포동 146-3 구포성심병원,35.2096727817991,129.004573231485,부산 북구 낙동대로 1786
113,구포성심병원(2층 외래 신구관 연결복도),051-330-2001,"부산광역시 북구 낙동대로 1786, 구포성심병원 (구포동)",부산광역시 북구 구포동 146-3 구포성심병원,35.2096727817991,129.004573231485,부산 북구 낙동대로 1786
114,구포성심병원(72병동 휴게실),051-330-2001,"부산광역시 북구 낙동대로 1786, 구포성심병원 (구포동)",부산광역시 북구 구포동 146-3 구포성심병원,35.2096727817991,129.004573231485,부산 북구 낙동대로 1786
115,국가기록원부산기록관(부산기록관 본관동),051-550-8032,부산광역시 연제구 경기장로 28  (거제동),부산광역시 연제구 거제동 1400 국가기록원 부산기록관,35.1908007216527,129.053680576686,부산 연제구 경기장로 28
116,국가기록원부산기록관(부산기록관 업무동),051-550-8032,부산광역시 연제구 경기장로 28  (거제동),부산광역시 연제구 거제동 1400 국가기록원 부산기록관,35.1908007216527,129.053680576686,부산 연제구 경기장로 28
117,국민체육문예센터(국민체육문예센터 내),051-440-9031,부산광역시 동구 구청로 1,부산광역시 동구 수정동  806-74 동구청,35.1292975675514,129.045298203371,부산 동구 구청로 1
118,국제백양아파트(관리사무소),051-897-6485,"부산광역시 부산진구 백양관문로 104  (당감동, 국제백양아파트)",부산광역시 부산진구 당감동 791 국제백양아파트,35.1680304177471,129.029180210707,부산 부산진구 백양관문로 104
119,근로복지공단부산의원(진료실 앞),051-790-3300,"부산광역시 부산진구 자유평화로 11, 누리엔 16층 (범천동)",부산광역시 부산진구 범천동 839-48 누리엔,35.1417444980536,129.06119937525,부산 부산진구 자유평화로 11
120,금곡2단지아파트(210동 1층),051-361-2010,"부산광역시 북구 금곡대로616번길 10-9 (금곡동, 금곡2단지주공아파트)",부산광역시 북구 금곡동 98번지 1호 금곡2단지주공아파트,35.2598827791739,129.015196459368,부산 북구 금곡대로616번길 10-9
