시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
고촌역,부산광역시,기장군,26710,부산광역시 기장군 철마면 반송로 991,부산광역시 기장군 철마면 고촌리 518-2,35.2359719,129.160448,고촌역사,5:00,23:59,5:00,23:59,5:00,23:59,1,N,N,고촌역,051-678-6413,2026.5.19,3400000,부산광역시 기장군
좌광천정원 방문자센터,부산광역시,기장군,26710,부산광역시 기장군 정관읍 정관8로 11,부산광역시 기장군 정관읍 매학리 709,35.3238994,129.177611,좌광천정원 방문자센터 대여물품 보관함 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,부산광역시 기장군청,051-709-4371,2026.5.19,3400000,부산광역시 기장군
국민체육센터,부산광역시,수영구,26500,부산광역시 수영구 수영로521번길 77,부산광역시 수영구 광안동 1333,35.1527828,129.107531,지하1층 (안내데스크 무인발급기 옆),6:00,22:00,9:00,17:00,9:00,17:00,2,N,Y,부산광역시 수영구 행정지원과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
민락역,부산광역시,수영구,26500,부산광역시 수영구 수영로 769,부산광역시 수영구 수영동 527,35.1667229,129.122791,지하1층 (엘리베이터 1호기 옆),5:29,23:59,5:29,23:59,5:29,23:59,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
남천역,부산광역시,수영구,26500,부산광역시 수영구 수영로 410,부산광역시 수영구 남천동 78,35.1497439,129.110957,지하2층 (역무실 맞은편),5:22,23:59,5:22,23:59,5:22,23:59,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
금련산역,부산광역시,수영구,26500,부산광역시 수영구 수영로 482,부산광역시 수영구 남천동 78,35.1497439,129.110957,지하1층 (역무실 맞은편),5:20,23:59,5:20,23:59,5:20,23:59,2,N,N,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
수영구 보건소,부산광역시,수영구,26500,부산광역시 수영구 수영로 637-5,부산광역시 수영구 광안동 661-1,35.1624773,129.113489,1층 (본관 입구),9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
민락동 행정복지센터,부산광역시,수영구,26500,부산광역시 수영구 광안해변로295번길 20,부산광역시 수영구 민락동 34-10,35.1572615,129.125433,1층 (무인발급기 옆),9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
망미1동 행정복지센터,부산광역시,수영구,26500,부산광역시 수영구 연수로315번길 23,부산광역시 수영구 망미동 640-15,35.1734406,129.104909,1층 출입구 (엘리베이터 옆),9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
수영구 노인복지관,부산광역시,수영구,26500,부산광역시 수영구 황령대로489번길 83,부산광역시 수영구 남천동 552,35.1400466,129.111171,1층 (화장실 옆),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
수영구청,부산광역시,수영구,26500,부산광역시 수영구 남천동로 100,부산광역시 수영구 남천동 148-15,35.1453713,129.11237,1층 승강기 입구,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
수영구 장애인협회,부산광역시,수영구,26500,부산광역시 수영구 광남로 218-4,부산광역시 수영구 민락동 163-12,35.1585038,129.122625,1층 (엘리베이터 옆),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
수영역,부산광역시,수영구,26500,부산광역시 수영구 수영로 677,부산광역시 수영구 광안동 1091-1,35.1658917,129.114829,지하1층 (역무실~14번 출구),5:20,23:59,5:20,23:59,5:20,23:59,2,N,N,부산광역시 보조기기광역센터,051-790-6190,2026.5.12,3380000,부산광역시 수영구
망미역,부산광역시,수영구,26500,부산광역시 수영구 연수로 337,부산광역시 수영구 망미동 603-2,35.1715291,129.108315,지하 1층 (만남의 광장 맞은편),5:22,23:59,5:22,23:59,5:22,23:59,2,N,N,부산광역시 보조기기광역센터,051-790-6190,2026.5.12,3380000,부산광역시 수영구
광안역,부산광역시,수영구,26500,부산광역시 수영구 수영로 576,부산광역시 수영구 광안동 205,35.1579194,129.113173,지하 2층 (대합실),5:18,23:59,5:18,23:59,5:18,23:59,2,N,N,부산광역시 보조기기광역센터,051-790-6190,2026.5.12,3380000,부산광역시 수영구
장애인복지관,부산광역시,수영구,26500,부산광역시 수영구 장대골로 75-14,부산광역시 수영구 광안동 1148-3,35.1593712,129.104987,1층 (야외테라스),9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164,2026.5.12,3380000,부산광역시 수영구
금정종합사회복지관,부산광역시,금정구,26410,부산광역시 금정구 반송로490번길47,부산광역시 금정구 금사동545-22,35.214655,129.118364,금정종합사회복지관 1층 로비,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 금정종합사회복지관,051-532-0115,2026.5.19,3350000,부산광역시 금정구
두실역,부산광역시,금정구,26410,부산광역시 금정구 중앙대로1927-1,부산광역시 금정구 구서동262,35.2568757,129.091412,두실역 5번 출구쪽 대합실,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 두실역,051-678-6131,2026.5.19,3350000,부산광역시 금정구
남산동행정복지센터,부산광역시,금정구,26410,부산광역시 금정구 중앙대로2097번길4,부산광역시 금정구 남산동21-5,35.2716614,129.092262,남산동행정복지센터 1층 민원실,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 남산동행정복지센터,051-519-5461,2026.5.19,3350000,부산광역시 금정구
구서1동행정복지센터,부산광역시,금정구,26410,부산광역시 금정구 수림로72번길123,부산광역시 금정구 구서동1063,35.2451127,129.086896,구서1동행정복지센터 1층 민원실,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 구서1동행정복지센터,051-519-5416,2026.5.19,3350000,부산광역시 금정구
장전2동행전복지센터,부산광역시,금정구,26410,부산광역시 금정구 소정로19,부산광역시 금정구 장전동715,35.2277469,129.080969,장전2동행전복지센터 1층 민원실,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 장전2동행전복지센터,051-519-5314,2026.5.19,3350000,부산광역시 금정구
부곡1동행정복지센터,부산광역시,금정구,26410,부산광역시 금정구 동부곡로6번길29,부산광역시 금정구 부곡동323-1,35.2244076,129.092133,부곡1동행정복지센터 1층 민원실,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 부곡1동행정복지센터,051-519-5217,2026.5.19,3350000,부산광역시 금정구
서2동행정복지센터,부산광역시,금정구,26410,부산광역시 금정구 서동중심로33,부산광역시 금정구 서동297-446,35.2128712,129.104495,서2동행정복지센터 1층 민원실,9:00,18:00,0:00,23:59,0:00,23:59,1,N,Y,부산광역시 금정구 서2동행정복지센터,051-519-5131,2026.5.19,3350000,부산광역시 금정구
장애인전동보조기기사전안전예방교육장,부산광역시,동구,32700,부산광역시 동구 중앙대로 333,부산광역시 동구 초량동 1142,35.126293,129.045609,교육장 외부 우측,10:00,18:00,0:00,0:00,0:00,0:00,1,N,N,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
부산시민회관,부산광역시,동구,32700,부산광역시 동구 자성로133번길 16,부산광역시 동구 범일동 830-31,35.1388464,129.065224,소극장 로비 앞,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
부산장애인종합회관,부산광역시,동구,32700,부산광역시 동구 중앙대로196번길 12-3,부산광역시 동구 초량동 1203-2,35.1139274,129.040712,1층 출입구 앞,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
부산역(기차),부산광역시,동구,32700,부산광역시 동구 중앙대로 206,부산광역시 동구 초량동 1187-1,35.1176051,129.04506,2층 철도경찰 맞은편 에스컬레이터옆,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
부산역(기차),부산광역시,동구,32700,부산광역시 동구 중앙대로 206,부산광역시 동구 초량동 1187-1,35.1176051,129.04506,1층 5번 출입구,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
초량2동주민센터,부산광역시,동구,32700,부산광역시 동구 중앙대로209번길 30,부산광역시 동구 초량동 444-1,35.1165364,129.03849,출입구 옆,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
동구청,부산광역시,동구,32700,부산광역시 동구 구청로 1,부산광역시 동구 수정동 806-74,35.1292976,129.045298,2층 당직실 옆,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시 동구청,051-440-4331,2026.4.27,3270000,부산광역시 동구
부산역(지하철),부산광역시,동구,32700,부산광역시 동구 중앙대로 200,부산광역시 동구 초량동 1206-1,35.1144392,129.03928,3번 출구,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시장애인종합복지관,051-790-6190,2026.4.27,3270000,부산광역시 동구
범일역,부산광역시,동구,32700,부산광역시 동구 범일로 108,부산광역시 동구 범일동 833-11,35.1396099,129.059673,1번 출구,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시장애인종합복지관,051-790-6190,2026.4.27,3270000,부산광역시 동구
부산진역,부산광역시,동구,32700,부산광역시 동구 중앙대로 350,부산광역시 동구 초량동 1149-2,35.12684,129.047381,6번 출구,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시장애인종합복지관,051-790-6190,2026.4.27,3270000,부산광역시 동구
초량역,부산광역시,동구,32700,부산광역시 동구 중앙대로 264,부산광역시 동구 초량동 1170,35.121168,129.042991,8번 출구,10:00,18:00,10:00,18:00,10:00,18:00,2,N,Y,부산광역시장애인종합복지관,051-790-6190,2026.4.27,3270000,부산광역시 동구
거제역,부산광역시,연제구,26470,부산광역시 연제구 법원남로9번길 17(거제동),부산광역시 연제구 거제동 419-2,35.1895111,129.07429,2번+4번 출구,6:00,23:00,6:00,23:00,6:00,23:00,2,Y,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
연산1동행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 쌍미천로52번길 2(연산동),부산광역시 연제구 연산동 2149-2,35.1774563,129.08966,1층주출입문내부,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,부산광역시 연제구 연산1동행정복지센터,051-665-4334,2026.3.19,3370000,부산광역시 연제구
연산6동행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 쌍미천로52번길 2(연산동),부산광역시 연제구 연산동 2149-2,35.1774182,129.08966,1층주출입문내부,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,부산광역시 연제구 연산6동행정복지센터,051-665-5901,2026.3.19,3370000,부산광역시 연제구
부산의료원,부산광역시,연제구,26470,부산광역시 연제구 월드컵대로 359(거제동),부산광역시 연제구 거제동 1518,35.187417,129.060049,지하1층중앙로비ATM기옆,8:30,17:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
종합운동장역,부산광역시,연제구,26470,부산광역시 연제구 아시아드대로 73,부산광역시 연제구 거제동 1191-2,35.1912744,129.067572,"대합실1,3번출구근처",6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
동해선거제해맞이역,부산광역시,연제구,26470,부산광역시 연제구 거제대로 123(거제동),부산광역시 연제구 거제동 676-1,35.1811728,129.068993,1층일광행열차게이트옆,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
동해선거제역,부산광역시,연제구,26470,부산광역시 연제구 법원남로9번길 14(거제동),부산광역시 연제구 거제동 1494-4,35.1900231,129.074236,3층중앙엘리베이터앞,6:00,23:00,6:00,23:00,6:00,23:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
연산9동행정복지센터,부산광역시,연제구,26470,부산광역시 연제구 과정로164번길 38(연산동),부산광역시 연제구 연산동 475-1,35.1859032,129.10938,1층입구옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
연제구청,부산광역시,연제구,26470,부산광역시 연제구 연제로 2(연산동),,35.1762117,129.079746,1층연제구홍보관앞,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
부산시청,부산광역시,연제구,26470,부산광역시 연제구 중앙대로 1001,,35.179926,129.075095,1층공무원매점옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
시청역,부산광역시,연제구,26470,부산광역시 연제구 중앙대로 지하1017(연산동),부산광역시 연제구 연산동 2022-374,35.1797757,129.076623,"대합실5,7번출구",6:00,23:00,6:00,23:00,6:00,23:00,2,N,N,금정장애인자립생활센터,051-582-3334,2026.3.19,3370000,부산광역시 연제구
곰두리스포츠센터,부산광역시,연제구,26470,부산광역시 연제구 화지로 109,,35.1852386,129.065732,3층,6:00,21:00,6:00,18:00,0:00,0:00,2,N,N,곰두리스포츠센터,051-503-6363,2026.3.19,3370000,부산광역시 연제구
연산종합사회복지관,부산광역시,연제구,26470,부산광역시 연제구 봉수로 17,부산광역시 연제구 연산동 2388,35.1727275,129.088909,1층 출입구 우측,0:00,23:59,0:00,23:59,0:00,23:59,2,N,N,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
부산광역시장애인종합복지관,부산광역시,연제구,26470,부산광역시 연제구 중앙대로1150번길 15,부산광역시 연제구 연산동 578-5,35.1905618,129.081545,1층보조기기전시체험장,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,부산광역시 장애인종합복지관,051-790-6100,2026.3.19,3370000,부산광역시 연제구
연산역(환승역),부산광역시,연제구,26470,부산광역시 연제구 중앙대로 1101,부산광역시 연제구 연산동 1515-1,35.1860721,129.081503,"3번,17번출구쪽현금지급기옆",6:00,23:00,6:00,23:00,6:00,23:00,2,Y,N,부산광역시 보조기기센터,051-790-6190,2026.3.19,3370000,부산광역시 연제구
물만골역,부산광역시,연제구,26470,부산광역시 연제구 월드컵대로 23,부산광역시 연제구 연산동 1515-11,35.1767586,129.085607,지하2층종합안내도후면,6:00,23:00,6:00,23:00,6:00,23:00,2,Y,N,부산광역시 보조기기센터,051-790-6190,2026.3.19,3370000,부산광역시 연제구
배산역,부산광역시,연제구,26470,부산광역시 연제구 연수로 229,부산광역시 연제구 연산동 1805-3,35.1734598,129.095702,5번출구근처,6:00,23:00,6:00,23:00,6:00,23:00,2,Y,N,부산광역시 보조기기센터,051-790-6190,2026.3.19,3370000,부산광역시 연제구
교대역1호선,부산광역시,연제구,26470,부산광역시 연제구 중앙대로1219번길4,,35.196397,129.07933,5번출구근처,6:00,23:00,6:00,23:00,6:00,23:00,2,Y,N,부산광역시 보조기기센터,051-790-6190,2026.3.19,3370000,부산광역시 연제구
연제도서관,부산광역시,연제구,26470,부산광역시 연제구 황령산로 612(연산동),부산광역시 연제구 연산동 2302,35.1741619,129.082964,1층로비,9:00,22:00,9:00,18:00,9:00,17:00,2,Y,Y,부산광역시 연제구청,051-665-4334,2026.3.19,3370000,부산광역시 연제구
체육공원역,부산광역시,강서구,33600,부산광역시 강서구 낙동북로 371,부산광역시 강서구 대저1동 2327-35,35.2125058,128.969456,1번 출구 3층,0:36,5:17,0:36,5:17,0:36,5:17,2,N,Y,부산광역시장애인종합복지관,051-790-6100,2026.2.19,3360000,부산광역시 강서구
대저역,부산광역시,강서구,33600,부산광역시 강서구 낙동북로 295,부산광역시 강서구 대저1동 1500-2,35.2133571,128.961053,1번 출구,5:16,23:40,5:16,23:40,5:16,23:40,2,N,Y,부산광역시장애인종합복지관,051-790-6100,2026.2.19,3360000,부산광역시 강서구
부산김해경전철 덕두역,부산광역시,강서구,33600,부산광역시 강서구 경전철로 10,부산광역시 강서구 대저2동 1858-3,35.1820003,128.954198,2번출구 교통카드충전기 옆,5:00,23:59,5:00,23:59,5:00,23:59,2,N,Y,부산광역시 강서구청,055-310-9823,2026.2.19,3360000,부산광역시 강서구
부산광역시 강서구청 종합민원실,부산광역시,강서구,33600,부산광역시 강서구 낙동북로 477,부산광역시 강서구 대저1동 2300,35.2122029,128.980585,1층 구민홀 옆,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,부산광역시 강서구청,051-970-4152,2026.2.19,3360000,부산광역시 강서구
김해공항 국제선청사 1층,부산광역시,강서구,33600,부산광역시 강서구 공항진입로 108,부산광역시 강서구 대저2동 2350-1,35.1729352,128.946833,1층 로비 1번 게이트 부근,6:00,23:59,6:00,23:59,6:00,23:59,2,N,Y,부산광역시 강서구청,051-974-3976,2026.2.19,3360000,부산광역시 강서구
김해공항 국내선청사,부산광역시,강서구,33600,부산광역시 강서구 공항진입로 108,부산광역시 강서구 대저2동 2350-1,35.1729352,128.946833,1층 로비,6:00,23:59,6:00,23:59,6:00,23:59,2,N,Y,부산광역시 강서구청,051-974-3976,2026.2.19,3360000,부산광역시 강서구
만덕2동행정복지센터,부산광역시,북구,33200,부산광역시 북구 만덕2로44번길 10,부산광역시 북구 만덕동 289-1,35.2101851,129.037203,입구 게시판 앞,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
금곡동행정복지센터,부산광역시,북구,33200,부산광역시 북구 금곡대로 466,부산광역시 북구 금곡동 1114-2,35.2500788,129.012848,2층 후문 옆 코너,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
구포1동행정복지센터,부산광역시,북구,33200,부산광역시 북구 백양대로1172번길 18,부산광역시 북구 구포동 628,35.2062243,129.005605,입구 옆 왼쪽(현 문고),0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
구포역,부산광역시,북구,33200,부산광역시 북구 구포만세길 82,부산광역시 북구 구포동 1060-470,35.2054724,128.997142,1번출구 2층,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
율리역,부산광역시,북구,33200,부산광역시 북구 금곡대로 440,부산광역시 북구 금곡동 1241,35.2471688,129.012918,3번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
금곡역,부산광역시,북구,33200,부산광역시 북구 금곡대로 685,부산광역시 북구 금곡동 581-1,35.2674732,129.016906,5번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
동원역,부산광역시,북구,33200,부산광역시 북구 금곡대로 577,부산광역시 북구 금곡동 846-1,35.2586438,129.012397,1번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
만덕역,부산광역시,북구,33200,부산광역시 북구 만덕대로 291,부산광역시 북구 만덕동 607-1,35.2129568,129.036151,4번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
부산장애인자립생활센터,부산광역시,북구,33200,부산광역시 북구 화명신도시로 117,부산광역시 북구 화명동 2275-3,35.2346651,129.010488,8층 교육실,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
덕천역,부산광역시,북구,33200,부산광역시 북구 금곡대로 14,부산광역시 북구 덕천동 327,35.2111996,129.009676,7번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
뇌병변장애인복지관,부산광역시,북구,33200,부산광역시 북구 학사로 246,부산광역시 북구 금곡동 1883,35.2444514,129.010067,1층 식당,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
북구청,부산광역시,북구,33200,부산광역시 북구 낙동대로1570번길 33,부산광역시 북구 구포동 1124-1,35.1968825,128.990096,제1별관 1층,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
수정역,부산광역시,북구,33200,부산광역시 북구 금곡대로 160,부산광역시 북구 화명동 941-1,35.2230836,129.009149,1번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
숙등역,부산광역시,북구,33200,부산광역시 북구 만덕대로 79,부산광역시 북구 덕천동 462,35.2121463,129.013469,1번 출구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시보조기기센터,051-790-6190,2026.2.24,3320000,부산광역시 북구
덕천종합사회복지관,부산광역시,북구,33200,부산광역시 북구 덕천로 74,부산광역시 북구 덕천동 808,35.2090145,129.01715,1층 입구 옆 왼쪽 코너,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
북구장애인종합복지관,부산광역시,북구,33200,부산광역시 북구 금곡대로616번길 145,부산광역시 북구 금곡동 54-3,35.267119,129.017555,1층 입구 옆 오른쪽,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
북구장애인협회,부산광역시,북구,33200,부산광역시 북구 만덕대로65번길 79,부산광역시 북구 덕천동 457-40,35.2151653,129.010478,사무실 입구 왼쪽,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
구포역(기차역),부산광역시,북구,33200,부산광역시 북구 구포만세길 82,부산광역시 북구 구포동 1060-470,35.2054724,128.997142,왼쪽 무인자판기옆 교통약자 대기실 안,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
화명역,부산광역시,북구,33200,부산광역시 북구 금곡대로 311,부산광역시 북구 화명동 1458-9,35.2358032,129.013877,30번 게이트와 6번 출구 사이 공간,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
구명역,부산광역시,북구,33200,부산광역시 북구 백양대로 1094,부산광역시 북구 구포동 969-1,35.2027471,128.999503,2호기 E/V 옆 유휴공간,0:00,23:59,0:00,23:59,0:00,23:59,1,N,N,부산광역시 북구청 복지정책과,051-309-4329,2026.2.24,3320000,부산광역시 북구
